,ОКТМО,Население 2016,Число работников 2016,Число работников-россиян 2016,Число работников-иностранцев 2016,Средняя белая зарплата 2016,Средняя белая зарплата россиян 2016,Средняя белая зарплата иностранцев 2016,Население 2018,Число работников 2018,Число работников-россиян 2018,Число работников-иностранцев 2018,Средняя белая зарплата 2018,Средняя белая зарплата россиян 2018,Средняя белая зарплата иностранцев 2018,"Доля иностранных работников 2016, %","Доля иностранных работников 2018, %",Темпы роста числа иностранных работников 2018-2016,"Темпы роста доли иностранных работников 2018-2016, %","Темпы роста населения 2018-2016, %","Темпы роста числа рабочих мест 2018-2016, %","Темпы роста средней белой зарплаты 2018-2016, %",Средняя белая зарплата иностранцев % от российской 2016,Средняя белая зарплата иностранцев % от российской 2018,Число рабочих мест в % к численности населения 2016,Число рабочих мест в % к численности населения 2018,"Темпы роста доли рабочих мест 2016-2018, %"
Городской округ Жуковский,46725000,108427,55364,54305,1063,38833,39329,13304,108187,53504,52334,1187,46936,47564,18562,1.9200202297521853,2.2185257177033493,11.66509877704609,15.546997022510102,-0.22134708144649906,-3.359583845097902,20.866273530244904,34.25952154095744,39.54746889381285,51.061082571684175,49.45511013338017,-3.145198568889329
г. Жуковский,46725000,108427,55364,54305,1063,38833,39329,13304,39267,53504,52334,1187,46936,47564,18562,1.9200202297521853,2.2185257177033493,11.66509877704609,15.546997022510102,-63.784850636834,-3.359583845097902,20.866273530244904,34.25952154095744,39.54746889381285,51.061082571684175,136.25690783609647,166.85080098880917
Городской округ Звездный городок  (ЗАТО),46774000,5622,2641,2607,34,49219,49741,9243,22513,2688,2682,6,48266,48303,31613,1.2873911397198032,0.2232142857142857,-82.35294117647058,-82.66150210084034,300.44468160796873,1.7796289284361944,-1.9362441333631297,18.779333184339382,65.49745162225997,46.97616506581288,11.939768133967041,-74.58334856146811
пгт Звездный городок,46774000,5622,2641,2607,34,49219,49741,9243,5426,2688,2682,6,48266,48303,31613,1.2873911397198032,0.2232142857142857,-82.35294117647058,-82.66150210084034,-3.4863038064745666,1.7796289284361944,-1.9362441333631297,18.779333184339382,65.49745162225997,46.97616506581288,49.539255436785844,5.456150725335096
Городской округ Ивантеевка,46732000,72023,22692,21038,1673,23084,23776,14122,5426,25382,22651,2737,25744,27174,13833,7.372642340913097,10.783232211803641,63.59832635983265,46.26007492543229,-92.46629548894103,11.854398025735936,11.52313290590885,61.17657251776122,53.73290863890615,31.50660205767602,467.78474014006633,1384.7197399571655
г. Ивантеевка,46732000,72023,22692,21038,1673,23084,23776,14122,76612,25382,22651,2737,25744,27174,13833,7.372642340913097,10.783232211803641,63.59832635983265,46.26007492543229,6.371575746636493,11.854398025735936,11.52313290590885,61.17657251776122,53.73290863890615,31.50660205767602,33.13058006578604,5.154405432668252
Городской округ Кашира,46735000,66842,25623,25032,593,29078,29312,19105,76612,27754,25883,1888,32272,33312,17721,2.3143269718612185,6.8026230453268,218.38111298482295,193.93526187252715,14.616558451273143,8.316746672911046,10.984249260609392,65.70259302565513,54.91137828458106,38.3336824152479,36.226700777946014,-5.4964237833404646
г. Кашира,46735000,49638,25623,25032,593,29078,29312,19105,121137,27754,25883,1888,32272,33312,17721,2.3143269718612185,6.8026230453268,218.38111298482295,193.93526187252715,144.04085579596276,8.316746672911046,10.984249260609392,65.70259302565513,54.91137828458106,51.619726822192675,22.911249246720654,-55.615322557517864
Городской округ Коломна,46738000,143578,89965,87849,2138,28115,28417,15401,34309,84449,81947,2547,33610,34190,14353,2.376479742121936,3.0160215041030685,19.130028063610858,26.91130711722758,-76.1042778141498,-6.131273272939475,19.544727014049435,54.77858794237951,42.7045522166022,62.65932106590146,246.14241161211345,292.8264900177183
г. Коломна,46738000,143578,89965,87849,2138,28115,28417,15401,29738,84449,81947,2547,33610,34190,14353,2.376479742121936,3.0160215041030685,19.130028063610858,26.91130711722758,-79.28791319004304,-6.131273272939475,19.544727014049435,54.77858794237951,42.7045522166022,62.65932106590146,283.97673010962404,353.2074801942934
Городской округ Королёв,46734000,221129,96878,92694,4218,37703,38894,11209,2929,92166,88083,4127,44581,45941,15082,4.35392968475815,4.477790074430918,-2.1574205784732126,2.844795360530683,-98.67543379656219,-4.863849377567664,18.24258016603453,29.72972972972973,33.830555617864114,43.81062637645899,3146.6712188460224,7082.438323997214
г. Королёв,46734000,221129,96878,92694,4218,37703,38894,11209,65380,92166,88083,4127,44581,45941,15082,4.35392968475815,4.477790074430918,-2.1574205784732126,2.844795360530683,-70.43354783859195,-4.863849377567664,18.24258016603453,29.72972972972973,33.830555617864114,43.81062637645899,140.96971550933006,221.77060035160352
Городской округ Котельники,46739000,43128,30710,28667,2048,26653,27491,14855,48656,34485,31125,3366,30375,32044,14765,6.668837512211007,9.760765550239233,64.35546875,46.363823265550195,12.817659061398622,12.292412894822524,13.964656886654403,55.734814092222265,48.609053497942384,71.20664069745872,70.87512331469911,-0.4655708786602597
г. Котельники,46739000,43128,30710,28667,2048,26653,27491,14855,186802,34485,31125,3366,30375,32044,14765,6.668837512211007,9.760765550239233,64.35546875,46.363823265550195,333.13392691522904,12.292412894822524,13.964656886654403,55.734814092222265,48.609053497942384,71.20664069745872,18.46072311859616,-74.07443612312552
Городской округ Красноармейск,46743000,26660,8996,8711,286,27985,28279,18923,142691,9230,8885,344,30183,30781,14739,3.1791907514450863,3.726977248104009,20.27972027972027,17.230375258544296,435.225056264066,2.6011560693641522,7.854207611220287,67.61836698231195,48.832124043335654,33.743435858964745,6.46852289212354,-80.83027786749516
г. Красноармейск,46743000,26660,8996,8711,286,27985,28279,18923,3626,9230,8885,344,30183,30781,14739,3.1791907514450863,3.726977248104009,20.27972027972027,17.230375258544296,-86.39909977494374,2.6011560693641522,7.854207611220287,67.61836698231195,48.832124043335654,33.743435858964745,254.55046883618311,654.3703311663675
Городской округ Лобня,46740000,86020,44398,41599,2809,60285,62452,27980,44869,47317,44424,2904,77796,80711,32878,6.3268615703410065,6.137329078343936,3.3819864720541215,-2.9956794516503904,-47.83887468030691,6.574620478399917,29.047026623538198,46.4128721904288,42.26181294668106,51.61357823761916,105.45588268069268,104.31810054942079
г. Лобня,46740000,86020,44398,41599,2809,60285,62452,27980,44869,47317,44424,2904,77796,80711,32878,6.3268615703410065,6.137329078343936,3.3819864720541215,-2.9956794516503904,-47.83887468030691,6.574620478399917,29.047026623538198,46.4128721904288,42.26181294668106,51.61357823761916,105.45588268069268,104.31810054942079
Городской округ Лосино-Петровский,46742000,25266,5802,5187,617,19923,21014,10674,26519,17294,14444,2860,24809,27615,10545,10.634264046880386,16.537527466173238,363.5332252836305,55.511725054679296,4.959233752869463,198.0696311616684,24.524419013200816,53.57626863424183,42.50473618444919,22.963666587508904,65.21362042309288,183.98609679590913
г. Лосино-Петровский,46742000,25266,5802,5187,617,19923,21014,10674,26519,17294,14444,2860,24809,27615,10545,10.634264046880386,16.537527466173238,363.5332252836305,55.511725054679296,4.959233752869463,198.0696311616684,24.524419013200816,53.57626863424183,42.50473618444919,22.963666587508904,65.21362042309288,183.98609679590913
Городской округ Лыткарино,46741000,57076,20199,18931,1279,32967,34314,12735,245925,20946,19300,1658,38998,39957,27535,6.331996633496708,7.915592475890384,29.63252541047694,25.009423315488565,330.8728712593735,3.698202881330759,18.294051627384956,38.62953862953863,70.60618493256064,35.389655897399955,8.517230863068008,-75.9329932798421
г. Лыткарино,46741000,57076,20199,18931,1279,32967,34314,12735,161525,20946,19300,1658,38998,39957,27535,6.331996633496708,7.915592475890384,29.63252541047694,25.009423315488565,182.9998598360081,3.698202881330759,18.294051627384956,38.62953862953863,70.60618493256064,35.389655897399955,12.967652066243616,-63.35750733536707
Городской округ Молодёжный  (ЗАТО),46761000,2812,614,614,0,24855,24855,0,43417,416,416,0,31069,31069,0,0.0,0.0,,,1443.9900426742533,-32.247557003257334,25.001005833836242,0.0,0.0,21.834992887624466,0.9581500333970564,-95.61186010763433
пгт Молодёжный,46761000,2812,614,614,0,24855,24855,0,41769,416,416,0,31069,31069,0,0.0,0.0,,,1385.3840682788052,-32.247557003257334,25.001005833836242,0.0,0.0,21.834992887624466,0.9959539371304077,-95.43872561692068
Городской округ Озёры,46756000,35563,12223,11776,451,24447,24711,17321,88220,12166,11132,1043,25345,26292,15015,3.6897651967602063,8.57307249712313,131.26385809312637,132.3473727989712,148.06681101144449,-0.4663339605661454,3.6732523418006258,70.85122918967562,59.24245413296508,34.36999128307511,13.790523690773068,-59.87626654545017
г. Озёры,46756000,25651,12223,11776,451,24447,24711,17321,25424,12166,11132,1043,25345,26292,15015,3.6897651967602063,8.57307249712313,131.26385809312637,132.3473727989712,-0.8849557522123908,-0.4663339605661454,3.6732523418006258,70.85122918967562,59.24245413296508,47.65116369732174,47.852422907488986,0.4223594862145186
Городской округ Орехово-Зуево,46757000,120165,48709,47301,1416,27103,27556,11804,25424,47936,46150,1799,32077,32664,16760,2.9070602968650556,3.7529205607476634,27.04802259887005,29.096756775040934,-78.84242499895977,-1.5869757129072681,18.35221193225842,43.55237427591042,52.249275181594285,40.53509757416885,188.54625550660793,365.14321363508884
г. Орехово-Зуево,46757000,120165,48709,47301,1416,27103,27556,11804,58430,47936,46150,1799,32077,32664,16760,2.9070602968650556,3.7529205607476634,27.04802259887005,29.096756775040934,-51.375192443723215,-1.5869757129072681,18.35221193225842,43.55237427591042,52.249275181594285,40.53509757416885,82.04004792058873,102.39262473829362
Городской округ Подольск,46760000,320523,178507,169369,9215,31800,32421,20135,30228,184379,172624,11850,35684,36709,20444,5.162262544325992,6.426979211298467,28.594682582745534,24.49927054490022,-90.5691635233665,3.2895068540729433,12.213836477987417,63.31761006289308,57.291783432350634,55.69241520889297,609.9609633452428,995.2316595668924
